=== NQL SDK RAM SNAPSHOT 001 ===
timestamp=2026-04-13 15:22:41.050
WorkingSet=6315.1 MB
PeakWorkingSet=6320.1 MB
PrivateBytes=6348.8 MB
PagefileUsage=6348.8 MB
PeakPagefile=6360.9 MB
VRAM_Local=215.9 MB  (discrete GPU memory in use)
VRAM_Shared=0.0 MB  (system RAM used by GPU for non-local resources)
TextureArray_Est=3.44 MB  (block+font atlas, RGBA8 no mips, 881 layers)
ResidentChunks=335


[RAM: per-chunk breakdown — all values are CPU RAM unless noted]
SLOT   CX     CZ     SCX    SCZ    ROLE | BLK_KB   CMESH_KB   UPLOAD_KB SUB_KB   SIM_KB  CONS_KB  TOTAL_KB 
157    -13    -8     -1     -1     PRI  | 1944     0          0         12896    512     0        15352    
158    -7     -13    -1     -1     PRI  | 2200     0          0         14940    512     0        17652    
159    -1     -13    -1     -1     PRI  | 2176     0          0         17986    512     0        20674    
160    -12    -10    -1     -1     PRI  | 2168     0          0         14582    512     0        17262    
161    -15    -3     -1     -1     PRI  | 1544     0          0         11565    512     0        13621    
162    -11    -11    -1     -1     PRI  | 2208     0          0         14903    512     0        17623    
163    -8     -13    -1     -1     PRI  | 2200     0          0         14852    512     0        17564    
164    -10    -12    -1     -1     PRI  | 2200     0          0         14824    512     0        17536    
165    -15    -2     -1     -1     PRI  | 1544     0          0         11702    512     0        13758    
166    -13    -9     -1     -1     PRI  | 2040     0          0         13689    512     0        16241    
167    -15    -4     -1     -1     PRI  | 1544     0          0         11217    512     0        13273    
168    -4     -14    -1     -1     PRI  | 2200     0          0         14949    512     0        17661    
169    -5     -14    -1     -1     PRI  | 2232     0          0         14999    512     0        17743    
170    -15    -1     -1     -1     PRI  | 1544     0          0         13656    512     0        15712    
171    -15    -5     -1     -1     PRI  | 1544     0          0         11405    512     0        13461    
172    -3     -14    -1     -1     PRI  | 2184     0          0         14709    512     0        17405    
173    -2     -14    -1     -1     PRI  | 2120     0          0         14458    512     0        17090    
174    -15    -6     -1     -1     PRI  | 1544     0          0         11500    512     0        13556    
175    -6     -14    -1     -1     PRI  | 2208     0          0         14878    512     0        17598    
176    -9     -13    -1     -1     PRI  | 2192     0          0         14819    512     0        17523    
177    -12    -11    -1     -1     PRI  | 2200     0          0         14833    512     0        17545    
178    -11    -12    -1     -1     PRI  | 2192     0          0         14806    512     0        17510    
179    -14    -8     -1     -1     PRI  | 1800     0          0         12125    512     0        14437    
180    -1     -14    -1     -1     PRI  | 2120     0          0         17634    512     0        20266    
181    -13    -10    -1     -1     PRI  | 2144     0          0         14379    512     0        17035    
182    -7     -14    -1     -1     PRI  | 2176     0          0         14777    512     0        17465    
183    -15    -7     -1     -1     PRI  | 1544     0          0         11331    512     0        13387    
184    -14    -9     -1     -1     PRI  | 1984     0          0         13187    512     0        15683    
185    -10    -13    -1     -1     PRI  | 2200     0          0         14857    512     0        17569    
186    -16    -3     -1     -1     PRI  | 1544     0          0         13792    512     0        15848    
187    -8     -14    -1     -1     PRI  | 2208     0          0         14785    512     0        17505    
188    -16    -2     -1     -1     PRI  | 1544     0          0         13722    512     0        15778    
189    -4     -15    -1     -1     PRI  | 2200     0          0         14850    512     0        17562    
190    -16    -4     -1     -1     PRI  | 1544     0          0         13919    512     0        15975    
191    -13    -11    -1     -1     PRI  | 2184     0          0         14750    512     0        17446    
192    -15    -8     -1     -1     PRI  | 1672     0          0         11838    512     0        14022    
193    -16    -5     -1     -1     PRI  | 1544     0          0         14008    512     0        16064    
194    -12    -12    -1     -1     PRI  | 2192     0          0         14847    512     0        17551    
195    -5     -15    -1     -1     PRI  | 2176     0          0         14708    512     0        17396    
196    -9     -14    -1     -1     PRI  | 2192     0          0         14857    512     0        17561    
197    -3     -15    -1     -1     PRI  | 2176     0          0         14691    512     0        17379    
198    -16    -1     -1     -1     PRI  | 1544     0          0         15661    512     0        17717    
199    -2     -15    -1     -1     PRI  | 2128     0          0         14457    512     0        17097    
200    -16    -6     -1     -1     PRI  | 1544     0          0         14055    512     0        16111    
201    -6     -15    -1     -1     PRI  | 2176     0          0         14719    512     0        17407    
202    -14    -10    -1     -1     PRI  | 2160     0          0         14360    512     0        17032    
203    -11    -13    -1     -1     PRI  | 2176     0          0         14845    512     0        17533    
204    -16    -7     -1     -1     PRI  | 1544     0          0         13221    512     0        15277    
205    -1     -15    -1     -1     PRI  | 2104     0          0         17537    512     0        20153    
206    -7     -15    -1     -1     PRI  | 2176     0          0         14708    512     0        17396    
207    -10    -14    -1     -1     PRI  | 2208     0          0         14912    512     0        17632    
208    -15    -9     -1     -1     PRI  | 1928     0          0         12627    512     0        15067    
209    -16    -8     -1     -1     PRI  | 1584     0          0         13890    512     0        15986    
210    -13    -12    -1     -1     PRI  | 2168     0          0         14806    512     0        17486    
211    -8     -15    -1     -1     PRI  | 2144     0          0         14519    512     0        17175    
212    -14    -11    -1     -1     PRI  | 2224     0          0         14897    512     0        17633    
213    -9     -15    -1     -1     PRI  | 2168     0          0         14580    512     0        17260    
214    -12    -13    -1     -1     PRI  | 2216     0          0         14907    512     0        17635    
