Performance Profiler Log
Started: 20260413_152453
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 experimental_runtime_opt=1 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
86,34.089,34.064,0.025,32.342,0.005,0.005,0.000,0.000,0.000,0.000,0.706,0.875,0.011,0.034,0.001,0.002,0.002,0.002,0.085,0,0,0,400,400
87,33.351,33.327,0.024,31.652,0.003,0.003,0.000,0.000,0.000,0.000,0.686,0.872,0.008,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
88,32.451,32.428,0.023,30.730,0.004,0.003,0.000,0.000,0.000,0.000,0.706,0.871,0.008,0.029,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
89,34.349,34.326,0.023,32.649,0.004,0.003,0.000,0.000,0.000,0.000,0.699,0.861,0.009,0.026,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
90,34.429,34.402,0.027,32.711,0.004,0.003,0.000,0.000,0.000,0.000,0.694,0.875,0.009,0.029,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
91,30.749,30.725,0.024,29.012,0.004,0.004,0.000,0.000,0.000,0.000,0.703,0.888,0.009,0.028,0.001,0.002,0.001,0.002,0.075,0,0,0,400,400
92,34.615,34.597,0.018,32.916,0.003,0.003,0.000,0.000,0.000,0.000,0.679,0.905,0.006,0.023,0.001,0.001,0.001,0.002,0.061,0,0,0,400,400
93,33.099,33.077,0.023,31.399,0.004,0.003,0.000,0.000,0.000,0.000,0.698,0.862,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
94,32.413,32.384,0.029,30.710,0.004,0.003,0.000,0.000,0.000,0.000,0.692,0.861,0.009,0.029,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
95,32.538,32.514,0.024,30.819,0.004,0.003,0.000,0.000,0.000,0.000,0.697,0.876,0.008,0.029,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
