Performance Profiler Log
Started: 20260412_012909
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
101,33.509,33.451,0.058,32.453,0.002,0.680,0.175,0.003,0.026,0.011,0.041,0.005,0.002,0.055
102,33.387,33.333,0.053,32.373,0.002,0.685,0.175,0.003,0.022,0.010,0.001,0.006,0.002,0.053
103,33.473,33.425,0.048,32.456,0.002,0.694,0.180,0.003,0.019,0.010,0.001,0.006,0.002,0.053
104,33.053,32.982,0.071,31.961,0.003,0.713,0.177,0.005,0.034,0.014,0.002,0.010,0.003,0.060
105,33.243,33.172,0.071,32.102,0.003,0.719,0.178,0.005,0.034,0.014,0.044,0.007,0.003,0.062
106,33.654,33.587,0.067,27.140,0.003,0.698,5.632,0.005,0.030,0.013,0.002,0.007,0.003,0.056
107,33.305,33.221,0.083,10.893,0.003,0.713,21.492,0.004,0.030,0.013,0.001,0.010,0.003,0.059
108,33.305,33.217,0.088,32.165,0.003,0.706,0.177,0.006,0.031,0.014,0.043,0.005,0.003,0.064
109,33.283,33.200,0.083,22.365,0.003,0.705,9.994,0.006,0.036,0.014,0.002,0.010,0.003,0.063
110,33.406,33.315,0.090,11.167,0.003,0.691,21.335,0.004,0.029,0.014,0.002,0.010,0.003,0.058
111,34.003,33.924,0.079,32.659,0.003,0.720,0.190,0.009,0.031,0.014,0.002,0.011,0.003,0.282
112,32.752,32.675,0.077,31.593,0.003,0.716,0.180,0.006,0.037,0.017,0.048,0.005,0.004,0.067
113,32.958,32.901,0.057,31.924,0.002,0.696,0.178,0.004,0.024,0.011,0.001,0.006,0.003,0.053
114,33.524,33.478,0.046,32.515,0.001,0.695,0.177,0.002,0.020,0.010,0.001,0.005,0.002,0.050
115,33.422,33.374,0.048,32.424,0.002,0.680,0.175,0.002,0.022,0.009,0.001,0.005,0.002,0.051
116,33.204,33.147,0.056,32.127,0.002,0.699,0.175,0.003,0.026,0.011,0.042,0.006,0.002,0.053
117,34.762,34.713,0.049,33.762,0.001,0.690,0.172,0.002,0.019,0.009,0.001,0.005,0.002,0.049
118,36.692,36.621,0.070,12.399,0.002,0.631,23.488,0.005,0.025,0.011,0.001,0.005,0.002,0.051
119,35.175,35.101,0.074,34.069,0.004,0.715,0.182,0.006,0.033,0.014,0.002,0.009,0.003,0.065
120,30.166,30.074,0.091,29.060,0.003,0.670,0.171,0.006,0.038,0.014,0.042,0.008,0.003,0.060
121,30.521,30.452,0.069,29.188,0.002,0.906,0.239,0.012,0.027,0.011,0.001,0.007,0.002,0.057
122,32.475,32.422,0.053,31.439,0.001,0.706,0.177,0.005,0.024,0.010,0.001,0.005,0.002,0.052
123,33.598,33.551,0.047,32.589,0.001,0.700,0.173,0.003,0.019,0.010,0.001,0.005,0.002,0.050
124,33.931,33.877,0.055,32.887,0.002,0.673,0.176,0.004,0.024,0.011,0.041,0.005,0.002,0.051
125,32.742,32.684,0.058,31.712,0.002,0.689,0.175,0.004,0.025,0.011,0.001,0.007,0.003,0.054
126,32.719,32.670,0.049,31.721,0.001,0.681,0.176,0.003,0.019,0.010,0.001,0.005,0.002,0.051
127,33.698,33.654,0.044,32.737,0.001,0.661,0.169,0.002,0.018,0.009,0.001,0.004,0.002,0.049
128,33.119,33.072,0.047,32.096,0.001,0.672,0.174,0.002,0.020,0.009,0.041,0.004,0.002,0.051
129,33.310,33.264,0.047,32.305,0.001,0.696,0.173,0.002,0.018,0.010,0.001,0.005,0.002,0.050
130,33.594,33.551,0.043,32.615,0.001,0.675,0.174,0.002,0.018,0.010,0.001,0.004,0.002,0.049
131,33.414,33.370,0.044,32.400,0.001,0.676,0.174,0.002,0.019,0.009,0.034,0.004,0.002,0.049
132,33.720,33.655,0.065,22.125,0.002,0.695,10.722,0.004,0.028,0.010,0.001,0.008,0.003,0.056
133,41.157,41.065,0.092,5.449,0.003,0.717,34.775,0.004,0.030,0.013,0.002,0.010,0.003,0.060
134,55.901,55.817,0.084,26.518,0.003,0.699,28.458,0.006,0.041,0.014,0.002,0.012,0.004,0.061
135,6.302,6.208,0.094,4.798,0.004,0.939,0.237,0.007,0.049,0.018,0.059,0.009,0.004,0.085
136,30.074,29.996,0.077,28.980,0.004,0.697,0.175,0.006,0.034,0.014,0.002,0.011,0.003,0.071
137,32.149,32.077,0.072,31.065,0.003,0.699,0.179,0.006,0.036,0.011,0.002,0.010,0.003,0.064
138,33.541,33.468,0.073,32.475,0.004,0.681,0.171,0.006,0.034,0.013,0.002,0.010,0.003,0.069
139,33.173,33.106,0.067,32.084,0.003,0.680,0.173,0.006,0.031,0.012,0.045,0.006,0.003,0.064
140,33.319,33.277,0.042,32.072,0.001,0.847,0.267,0.004,0.019,0.011,0.001,0.005,0.001,0.049
141,32.727,32.663,0.064,21.440,0.002,0.670,10.273,0.003,0.021,0.011,0.001,0.007,0.002,0.233
142,33.566,33.509,0.056,32.566,0.002,0.663,0.180,0.003,0.023,0.011,0.001,0.007,0.002,0.051
143,33.484,33.430,0.054,32.411,0.002,0.695,0.181,0.003,0.024,0.011,0.042,0.005,0.002,0.054
144,33.059,33.010,0.049,32.079,0.001,0.666,0.173,0.003,0.019,0.010,0.001,0.006,0.002,0.050
145,51.174,51.116,0.057,50.174,0.002,0.662,0.173,0.004,0.028,0.011,0.001,0.006,0.003,0.053
146,24.050,23.966,0.084,22.882,0.003,0.676,0.175,0.005,0.045,0.018,0.085,0.004,0.005,0.068
147,42.657,42.604,0.053,41.617,0.002,0.700,0.178,0.003,0.025,0.011,0.002,0.005,0.002,0.058
148,31.828,31.753,0.075,30.769,0.004,0.673,0.168,0.006,0.035,0.014,0.002,0.012,0.003,0.068
149,67.564,67.489,0.075,66.484,0.003,0.682,0.177,0.007,0.035,0.014,0.002,0.009,0.003,0.073
150,42.753,42.665,0.088,3.738,0.003,0.684,38.039,0.006,0.051,0.014,0.044,0.007,0.003,0.075
151,70.263,70.157,0.106,69.067,0.003,0.688,0.179,0.006,0.079,0.030,0.006,0.014,0.008,0.078
152,27.149,27.046,0.103,25.867,0.004,0.699,0.180,0.007,0.081,0.019,0.073,0.014,0.005,0.098
153,26.201,26.127,0.074,25.108,0.003,0.688,0.179,0.019,0.034,0.014,0.002,0.009,0.003,0.068
154,34.461,34.393,0.068,33.417,0.003,0.677,0.175,0.004,0.029,0.013,0.002,0.009,0.003,0.061
155,50.895,50.836,0.058,49.870,0.002,0.676,0.178,0.004,0.026,0.011,0.001,0.007,0.002,0.059
156,25.420,25.323,0.097,23.901,0.004,0.940,0.236,0.011,0.049,0.018,0.056,0.009,0.004,0.096
157,42.764,42.689,0.075,41.661,0.003,0.707,0.179,0.006,0.036,0.014,0.002,0.009,0.003,0.069
158,30.217,30.168,0.048,29.161,0.001,0.650,0.263,0.003,0.022,0.010,0.001,0.005,0.002,0.051
159,32.511,32.421,0.090,31.232,0.004,0.807,0.210,0.009,0.039,0.018,0.002,0.013,0.004,0.084
160,33.581,33.516,0.065,32.503,0.003,0.680,0.174,0.004,0.031,0.011,0.042,0.005,0.003,0.059
161,34.127,34.072,0.056,33.119,0.001,0.675,0.174,0.003,0.025,0.011,0.001,0.006,0.003,0.053
162,32.198,32.117,0.081,22.090,0.003,0.685,9.193,0.006,0.042,0.016,0.002,0.013,0.004,0.063
163,33.296,33.204,0.092,6.475,0.003,0.685,25.917,0.006,0.033,0.011,0.002,0.010,0.003,0.058
164,34.080,34.008,0.072,32.981,0.004,0.686,0.173,0.005,0.031,0.014,0.043,0.007,0.003,0.059
165,39.957,39.865,0.091,5.532,0.003,0.681,33.522,0.006,0.034,0.013,0.002,0.008,0.003,0.061
166,25.085,24.974,0.111,23.815,0.004,0.721,0.182,0.008,0.103,0.031,0.002,0.030,0.004,0.073
167,33.572,33.492,0.080,32.372,0.004,0.725,0.227,0.009,0.029,0.013,0.042,0.006,0.003,0.063
168,34.570,34.514,0.056,33.381,0.002,0.682,0.179,0.006,0.025,0.010,0.001,0.006,0.002,0.220
169,44.816,44.731,0.085,5.738,0.003,0.699,38.168,0.006,0.031,0.011,0.002,0.009,0.003,0.059
170,26.440,26.341,0.099,24.868,0.004,0.945,0.252,0.011,0.049,0.019,0.062,0.021,0.004,0.104
171,28.814,28.741,0.073,27.739,0.003,0.688,0.174,0.005,0.035,0.014,0.002,0.011,0.003,0.067
172,34.048,33.985,0.063,32.993,0.002,0.695,0.180,0.004,0.027,0.012,0.001,0.007,0.002,0.061
173,31.961,31.900,0.061,30.932,0.002,0.675,0.183,0.004,0.027,0.011,0.001,0.007,0.002,0.056
